START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
05/24/19,07:15 PM,10:15 PM,D-backs at Giants,Oracle Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KXZM 93.7",05/24/19,05/25/19,10:15 PM,01:15 AM,FALSE,TRUE,05/24/19,06:15 PM,09:15 PM,FREE,BUSY
05/25/19,01:05 PM,04:05 PM,D-backs at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA- FS1 ----- Local Radio: KNBR 680- KXZM 93.7",05/25/19,05/25/19,04:05 PM,07:05 PM,FALSE,TRUE,05/25/19,12:05 PM,03:05 PM,FREE,BUSY
05/26/19,01:05 PM,04:05 PM,D-backs at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/26/19,05/26/19,04:05 PM,07:05 PM,FALSE,TRUE,05/26/19,12:05 PM,03:05 PM,FREE,BUSY
05/28/19,04:10 PM,07:10 PM,Giants at Marlins,Marlins Park - Miami,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/28/19,05/28/19,07:10 PM,10:10 PM,FALSE,TRUE,05/28/19,03:10 PM,06:10 PM,FREE,BUSY
05/29/19,04:10 PM,07:10 PM,Giants at Marlins,Marlins Park - Miami,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/29/19,05/29/19,07:10 PM,10:10 PM,FALSE,TRUE,05/29/19,03:10 PM,06:10 PM,FREE,BUSY
05/30/19,10:10 AM,01:10 PM,Giants at Marlins,Marlins Park - Miami,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/30/19,05/30/19,01:10 PM,04:10 PM,FALSE,TRUE,05/30/19,09:10 AM,12:10 PM,FREE,BUSY
05/31/19,04:05 PM,07:05 PM,Giants at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/31/19,05/31/19,07:05 PM,10:05 PM,FALSE,TRUE,05/31/19,03:05 PM,06:05 PM,FREE,BUSY
06/01/19,01:05 PM,04:05 PM,Giants at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/01/19,06/01/19,04:05 PM,07:05 PM,FALSE,TRUE,06/01/19,12:05 PM,03:05 PM,FREE,BUSY
06/02/19,10:05 AM,01:05 PM,Giants at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/02/19,06/02/19,01:05 PM,04:05 PM,FALSE,TRUE,06/02/19,09:05 AM,12:05 PM,FREE,BUSY
06/04/19,04:10 PM,07:10 PM,Giants at Mets,Citi Field - Flushing,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/04/19,06/04/19,07:10 PM,10:10 PM,FALSE,TRUE,06/04/19,03:10 PM,06:10 PM,FREE,BUSY
06/05/19,04:10 PM,07:10 PM,Giants at Mets,Citi Field - Flushing,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/05/19,06/05/19,07:10 PM,10:10 PM,FALSE,TRUE,06/05/19,03:10 PM,06:10 PM,FREE,BUSY
06/06/19,09:10 AM,12:10 PM,Giants at Mets,Citi Field - Flushing,"Local TV: NBCS BA ----- Local Radio: KNBR 680",06/06/19,06/06/19,12:10 PM,03:10 PM,FALSE,TRUE,06/06/19,08:10 AM,11:10 AM,FREE,BUSY
06/07/19,07:15 PM,10:15 PM,Dodgers at Giants,Oracle Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KXZM 93.7",06/07/19,06/08/19,10:15 PM,01:15 AM,FALSE,TRUE,06/07/19,06:15 PM,09:15 PM,FREE,BUSY
06/08/19,04:15 PM,07:15 PM,Dodgers at Giants,Oracle Park - San Francisco,"Local TV: FOX ----- Local Radio: KNBR 680- KXZM 93.7",06/08/19,06/08/19,07:15 PM,10:15 PM,FALSE,TRUE,06/08/19,03:15 PM,06:15 PM,FREE,BUSY
06/09/19,01:05 PM,04:05 PM,Dodgers at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",06/09/19,06/09/19,04:05 PM,07:05 PM,FALSE,TRUE,06/09/19,12:05 PM,03:05 PM,FREE,BUSY
06/11/19,06:45 PM,09:45 PM,Padres at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",06/11/19,06/12/19,09:45 PM,12:45 AM,FALSE,TRUE,06/11/19,05:45 PM,08:45 PM,FREE,BUSY
06/12/19,06:45 PM,09:45 PM,Padres at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",06/12/19,06/13/19,09:45 PM,12:45 AM,FALSE,TRUE,06/12/19,05:45 PM,08:45 PM,FREE,BUSY
06/14/19,07:15 PM,10:15 PM,Brewers at Giants,Oracle Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KXZM 93.7",06/14/19,06/15/19,10:15 PM,01:15 AM,FALSE,TRUE,06/14/19,06:15 PM,09:15 PM,FREE,BUSY
