START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
05/23/12,03:33 AM,03:33 AM,Giants at Brewers,Miller Park,,05/23/12,05/23/12,06:33 AM,06:33 AM,FALSE,TRUE,05/23/12,02:33 AM,02:33 AM,FREE,BUSY
05/24/12,03:33 AM,03:33 AM,Giants at Marlins,New Marlins Ballpark,,05/24/12,05/24/12,06:33 AM,06:33 AM,FALSE,TRUE,05/24/12,02:33 AM,02:33 AM,FREE,BUSY
05/25/12,03:33 AM,03:33 AM,Giants at Marlins,New Marlins Ballpark,,05/25/12,05/25/12,06:33 AM,06:33 AM,FALSE,TRUE,05/25/12,02:33 AM,02:33 AM,FREE,BUSY
05/26/12,03:33 AM,03:33 AM,Giants at Marlins,New Marlins Ballpark,,05/26/12,05/26/12,06:33 AM,06:33 AM,FALSE,TRUE,05/26/12,02:33 AM,02:33 AM,FREE,BUSY
05/27/12,03:33 AM,03:33 AM,Giants at Marlins,New Marlins Ballpark,,05/27/12,05/27/12,06:33 AM,06:33 AM,FALSE,TRUE,05/27/12,02:33 AM,02:33 AM,FREE,BUSY
05/28/12,03:33 AM,03:33 AM,D-backs at Giants,AT&T Park,,05/28/12,05/28/12,06:33 AM,06:33 AM,FALSE,TRUE,05/28/12,02:33 AM,02:33 AM,FREE,BUSY
05/29/12,03:33 AM,03:33 AM,D-backs at Giants,AT&T Park,,05/29/12,05/29/12,06:33 AM,06:33 AM,FALSE,TRUE,05/29/12,02:33 AM,02:33 AM,FREE,BUSY
05/30/12,03:33 AM,03:33 AM,D-backs at Giants,AT&T Park,,05/30/12,05/30/12,06:33 AM,06:33 AM,FALSE,TRUE,05/30/12,02:33 AM,02:33 AM,FREE,BUSY
06/01/12,03:33 AM,03:33 AM,Cubs at Giants,AT&T Park,,06/01/12,06/01/12,06:33 AM,06:33 AM,FALSE,TRUE,06/01/12,02:33 AM,02:33 AM,FREE,BUSY
06/02/12,03:33 AM,03:33 AM,Cubs at Giants,AT&T Park,,06/02/12,06/02/12,06:33 AM,06:33 AM,FALSE,TRUE,06/02/12,02:33 AM,02:33 AM,FREE,BUSY
06/03/12,03:33 AM,03:33 AM,Cubs at Giants,AT&T Park,,06/03/12,06/03/12,06:33 AM,06:33 AM,FALSE,TRUE,06/03/12,02:33 AM,02:33 AM,FREE,BUSY
06/04/12,03:33 AM,03:33 AM,Cubs at Giants,AT&T Park,,06/04/12,06/04/12,06:33 AM,06:33 AM,FALSE,TRUE,06/04/12,02:33 AM,02:33 AM,FREE,BUSY
06/05/12,03:33 AM,03:33 AM,Giants at Padres,PETCO Park,,06/05/12,06/05/12,06:33 AM,06:33 AM,FALSE,TRUE,06/05/12,02:33 AM,02:33 AM,FREE,BUSY
06/06/12,03:33 AM,03:33 AM,Giants at Padres,PETCO Park,,06/06/12,06/06/12,06:33 AM,06:33 AM,FALSE,TRUE,06/06/12,02:33 AM,02:33 AM,FREE,BUSY
06/07/12,03:33 AM,03:33 AM,Giants at Padres,PETCO Park,,06/07/12,06/07/12,06:33 AM,06:33 AM,FALSE,TRUE,06/07/12,02:33 AM,02:33 AM,FREE,BUSY
06/08/12,03:33 AM,03:33 AM,Rangers at Giants,AT&T Park,,06/08/12,06/08/12,06:33 AM,06:33 AM,FALSE,TRUE,06/08/12,02:33 AM,02:33 AM,FREE,BUSY
06/09/12,03:33 AM,03:33 AM,Rangers at Giants,AT&T Park,,06/09/12,06/09/12,06:33 AM,06:33 AM,FALSE,TRUE,06/09/12,02:33 AM,02:33 AM,FREE,BUSY
06/10/12,03:33 AM,03:33 AM,Rangers at Giants,AT&T Park,,06/10/12,06/10/12,06:33 AM,06:33 AM,FALSE,TRUE,06/10/12,02:33 AM,02:33 AM,FREE,BUSY
06/12/12,03:33 AM,03:33 AM,Astros at Giants,AT&T Park,,06/12/12,06/12/12,06:33 AM,06:33 AM,FALSE,TRUE,06/12/12,02:33 AM,02:33 AM,FREE,BUSY
06/13/12,03:33 AM,03:33 AM,Astros at Giants,AT&T Park,,06/13/12,06/13/12,06:33 AM,06:33 AM,FALSE,TRUE,06/13/12,02:33 AM,02:33 AM,FREE,BUSY
06/14/12,03:33 AM,03:33 AM,Astros at Giants,AT&T Park,,06/14/12,06/14/12,06:33 AM,06:33 AM,FALSE,TRUE,06/14/12,02:33 AM,02:33 AM,FREE,BUSY
06/15/12,03:33 AM,03:33 AM,Giants at Mariners,Safeco Field,,06/15/12,06/15/12,06:33 AM,06:33 AM,FALSE,TRUE,06/15/12,02:33 AM,02:33 AM,FREE,BUSY
06/16/12,03:33 AM,03:33 AM,Giants at Mariners,Safeco Field,,06/16/12,06/16/12,06:33 AM,06:33 AM,FALSE,TRUE,06/16/12,02:33 AM,02:33 AM,FREE,BUSY
06/17/12,03:33 AM,03:33 AM,Giants at Mariners,Safeco Field,,06/17/12,06/17/12,06:33 AM,06:33 AM,FALSE,TRUE,06/17/12,02:33 AM,02:33 AM,FREE,BUSY
06/18/12,03:33 AM,03:33 AM,Giants at Angels,Angel Stadium of Anaheim,,06/18/12,06/18/12,06:33 AM,06:33 AM,FALSE,TRUE,06/18/12,02:33 AM,02:33 AM,FREE,BUSY
06/19/12,03:33 AM,03:33 AM,Giants at Angels,Angel Stadium of Anaheim,,06/19/12,06/19/12,06:33 AM,06:33 AM,FALSE,TRUE,06/19/12,02:33 AM,02:33 AM,FREE,BUSY
06/20/12,03:33 AM,03:33 AM,Giants at Angels,Angel Stadium of Anaheim,,06/20/12,06/20/12,06:33 AM,06:33 AM,FALSE,TRUE,06/20/12,02:33 AM,02:33 AM,FREE,BUSY
06/22/12,03:33 AM,03:33 AM,Giants at Athletics,Oakland Coliseum,,06/22/12,06/22/12,06:33 AM,06:33 AM,FALSE,TRUE,06/22/12,02:33 AM,02:33 AM,FREE,BUSY
06/23/12,03:33 AM,03:33 AM,Giants at Athletics,Oakland Coliseum,,06/23/12,06/23/12,06:33 AM,06:33 AM,FALSE,TRUE,06/23/12,02:33 AM,02:33 AM,FREE,BUSY
06/24/12,03:33 AM,03:33 AM,Giants at Athletics,Oakland Coliseum,,06/24/12,06/24/12,06:33 AM,06:33 AM,FALSE,TRUE,06/24/12,02:33 AM,02:33 AM,FREE,BUSY
06/25/12,03:33 AM,03:33 AM,Dodgers at Giants,AT&T Park,,06/25/12,06/25/12,06:33 AM,06:33 AM,FALSE,TRUE,06/25/12,02:33 AM,02:33 AM,FREE,BUSY
06/26/12,03:33 AM,03:33 AM,Dodgers at Giants,AT&T Park,,06/26/12,06/26/12,06:33 AM,06:33 AM,FALSE,TRUE,06/26/12,02:33 AM,02:33 AM,FREE,BUSY
06/27/12,03:33 AM,03:33 AM,Dodgers at Giants,AT&T Park,,06/27/12,06/27/12,06:33 AM,06:33 AM,FALSE,TRUE,06/27/12,02:33 AM,02:33 AM,FREE,BUSY
06/28/12,03:33 AM,03:33 AM,Reds at Giants,AT&T Park,,06/28/12,06/28/12,06:33 AM,06:33 AM,FALSE,TRUE,06/28/12,02:33 AM,02:33 AM,FREE,BUSY
06/29/12,03:33 AM,03:33 AM,Reds at Giants,AT&T Park,,06/29/12,06/29/12,06:33 AM,06:33 AM,FALSE,TRUE,06/29/12,02:33 AM,02:33 AM,FREE,BUSY
06/30/12,03:33 AM,03:33 AM,Reds at Giants,AT&T Park,,06/30/12,06/30/12,06:33 AM,06:33 AM,FALSE,TRUE,06/30/12,02:33 AM,02:33 AM,FREE,BUSY
07/01/12,03:33 AM,03:33 AM,Reds at Giants,AT&T Park,,07/01/12,07/01/12,06:33 AM,06:33 AM,FALSE,TRUE,07/01/12,02:33 AM,02:33 AM,FREE,BUSY
07/03/12,03:33 AM,03:33 AM,Giants at Nationals,Nationals Park,,07/03/12,07/03/12,06:33 AM,06:33 AM,FALSE,TRUE,07/03/12,02:33 AM,02:33 AM,FREE,BUSY
07/04/12,03:33 AM,03:33 AM,Giants at Nationals,Nationals Park,,07/04/12,07/04/12,06:33 AM,06:33 AM,FALSE,TRUE,07/04/12,02:33 AM,02:33 AM,FREE,BUSY
07/05/12,03:33 AM,03:33 AM,Giants at Nationals,Nationals Park,,07/05/12,07/05/12,06:33 AM,06:33 AM,FALSE,TRUE,07/05/12,02:33 AM,02:33 AM,FREE,BUSY
07/06/12,03:33 AM,03:33 AM,Giants at Pirates,PNC Park,,07/06/12,07/06/12,06:33 AM,06:33 AM,FALSE,TRUE,07/06/12,02:33 AM,02:33 AM,FREE,BUSY
07/07/12,03:33 AM,03:33 AM,Giants at Pirates,PNC Park,,07/07/12,07/07/12,06:33 AM,06:33 AM,FALSE,TRUE,07/07/12,02:33 AM,02:33 AM,FREE,BUSY
07/08/12,03:33 AM,03:33 AM,Giants at Pirates,PNC Park,,07/08/12,07/08/12,06:33 AM,06:33 AM,FALSE,TRUE,07/08/12,02:33 AM,02:33 AM,FREE,BUSY
07/10/12,03:33 AM,03:33 AM,NL All-Stars at AL All-Stars,Kauffman Stadium,,07/10/12,07/10/12,06:33 AM,06:33 AM,FALSE,TRUE,07/10/12,02:33 AM,02:33 AM,FREE,BUSY
07/13/12,03:33 AM,03:33 AM,Astros at Giants,AT&T Park,,07/13/12,07/13/12,06:33 AM,06:33 AM,FALSE,TRUE,07/13/12,02:33 AM,02:33 AM,FREE,BUSY
07/14/12,03:33 AM,03:33 AM,Astros at Giants,AT&T Park,,07/14/12,07/14/12,06:33 AM,06:33 AM,FALSE,TRUE,07/14/12,02:33 AM,02:33 AM,FREE,BUSY
07/15/12,03:33 AM,03:33 AM,Astros at Giants,AT&T Park,,07/15/12,07/15/12,06:33 AM,06:33 AM,FALSE,TRUE,07/15/12,02:33 AM,02:33 AM,FREE,BUSY
07/17/12,03:33 AM,03:33 AM,Giants at Braves,Turner Field,,07/17/12,07/17/12,06:33 AM,06:33 AM,FALSE,TRUE,07/17/12,02:33 AM,02:33 AM,FREE,BUSY
07/18/12,03:33 AM,03:33 AM,Giants at Braves,Turner Field,,07/18/12,07/18/12,06:33 AM,06:33 AM,FALSE,TRUE,07/18/12,02:33 AM,02:33 AM,FREE,BUSY
07/19/12,03:33 AM,03:33 AM,Giants at Braves,Turner Field,,07/19/12,07/19/12,06:33 AM,06:33 AM,FALSE,TRUE,07/19/12,02:33 AM,02:33 AM,FREE,BUSY
07/20/12,03:33 AM,03:33 AM,Giants at Phillies,Citizens Bank Park,,07/20/12,07/20/12,06:33 AM,06:33 AM,FALSE,TRUE,07/20/12,02:33 AM,02:33 AM,FREE,BUSY
07/21/12,03:33 AM,03:33 AM,Giants at Phillies,Citizens Bank Park,,07/21/12,07/21/12,06:33 AM,06:33 AM,FALSE,TRUE,07/21/12,02:33 AM,02:33 AM,FREE,BUSY
07/22/12,03:33 AM,03:33 AM,Giants at Phillies,Citizens Bank Park,,07/22/12,07/22/12,06:33 AM,06:33 AM,FALSE,TRUE,07/22/12,02:33 AM,02:33 AM,FREE,BUSY
07/23/12,03:33 AM,03:33 AM,Padres at Giants,AT&T Park,,07/23/12,07/23/12,06:33 AM,06:33 AM,FALSE,TRUE,07/23/12,02:33 AM,02:33 AM,FREE,BUSY
07/24/12,03:33 AM,03:33 AM,Padres at Giants,AT&T Park,,07/24/12,07/24/12,06:33 AM,06:33 AM,FALSE,TRUE,07/24/12,02:33 AM,02:33 AM,FREE,BUSY
07/25/12,03:33 AM,03:33 AM,Padres at Giants,AT&T Park,,07/25/12,07/25/12,06:33 AM,06:33 AM,FALSE,TRUE,07/25/12,02:33 AM,02:33 AM,FREE,BUSY
07/27/12,03:33 AM,03:33 AM,Dodgers at Giants,AT&T Park,,07/27/12,07/27/12,06:33 AM,06:33 AM,FALSE,TRUE,07/27/12,02:33 AM,02:33 AM,FREE,BUSY
07/28/12,03:33 AM,03:33 AM,Dodgers at Giants,AT&T Park,,07/28/12,07/28/12,06:33 AM,06:33 AM,FALSE,TRUE,07/28/12,02:33 AM,02:33 AM,FREE,BUSY
07/29/12,03:33 AM,03:33 AM,Dodgers at Giants,AT&T Park,,07/29/12,07/29/12,06:33 AM,06:33 AM,FALSE,TRUE,07/29/12,02:33 AM,02:33 AM,FREE,BUSY
07/30/12,03:33 AM,03:33 AM,Mets at Giants,AT&T Park,,07/30/12,07/30/12,06:33 AM,06:33 AM,FALSE,TRUE,07/30/12,02:33 AM,02:33 AM,FREE,BUSY
07/31/12,03:33 AM,03:33 AM,Mets at Giants,AT&T Park,,07/31/12,07/31/12,06:33 AM,06:33 AM,FALSE,TRUE,07/31/12,02:33 AM,02:33 AM,FREE,BUSY
08/01/12,03:33 AM,03:33 AM,Mets at Giants,AT&T Park,,08/01/12,08/01/12,06:33 AM,06:33 AM,FALSE,TRUE,08/01/12,02:33 AM,02:33 AM,FREE,BUSY
08/02/12,03:33 AM,03:33 AM,Mets at Giants,AT&T Park,,08/02/12,08/02/12,06:33 AM,06:33 AM,FALSE,TRUE,08/02/12,02:33 AM,02:33 AM,FREE,BUSY
08/03/12,03:33 AM,03:33 AM,Giants at Rockies,Coors Field,,08/03/12,08/03/12,06:33 AM,06:33 AM,FALSE,TRUE,08/03/12,02:33 AM,02:33 AM,FREE,BUSY
08/04/12,03:33 AM,03:33 AM,Giants at Rockies,Coors Field,,08/04/12,08/04/12,06:33 AM,06:33 AM,FALSE,TRUE,08/04/12,02:33 AM,02:33 AM,FREE,BUSY
08/05/12,03:33 AM,03:33 AM,Giants at Rockies,Coors Field,,08/05/12,08/05/12,06:33 AM,06:33 AM,FALSE,TRUE,08/05/12,02:33 AM,02:33 AM,FREE,BUSY
08/06/12,03:33 AM,03:33 AM,Giants at Cardinals,Busch Stadium,,08/06/12,08/06/12,06:33 AM,06:33 AM,FALSE,TRUE,08/06/12,02:33 AM,02:33 AM,FREE,BUSY
08/07/12,03:33 AM,03:33 AM,Giants at Cardinals,Busch Stadium,,08/07/12,08/07/12,06:33 AM,06:33 AM,FALSE,TRUE,08/07/12,02:33 AM,02:33 AM,FREE,BUSY
08/08/12,03:33 AM,03:33 AM,Giants at Cardinals,Busch Stadium,,08/08/12,08/08/12,06:33 AM,06:33 AM,FALSE,TRUE,08/08/12,02:33 AM,02:33 AM,FREE,BUSY
